FIPS,Date,State,FIPS State,County,Population,Estimated Age-adjusted Death Rate
1005,8/1/1999,Alabama,1,"Barbour County, AL",28866,1
1005,8/1/2000,Alabama,1,"Barbour County, AL",29015,1
1005,8/1/2001,Alabama,1,"Barbour County, AL",28863,1
1005,8/1/2002,Alabama,1,"Barbour County, AL",28653,1
1011,8/1/1999,Alabama,1,"Bullock County, AL",11755,1
1011,8/1/2000,Alabama,1,"Bullock County, AL",11581,1
1011,8/1/2001,Alabama,1,"Bullock County, AL",11358,1
1011,8/1/2002,Alabama,1,"Bullock County, AL",11256,1
1023,8/1/1999,Alabama,1,"Choctaw County, AL",15931,1
1023,8/1/2000,Alabama,1,"Choctaw County, AL",15875,1
1023,8/1/2001,Alabama,1,"Choctaw County, AL",15677,1
1023,8/1/2002,Alabama,1,"Choctaw County, AL",15367,1
1025,8/1/1999,Alabama,1,"Clarke County, AL",27919,1
1025,8/1/2000,Alabama,1,"Clarke County, AL",27819,1
1025,8/1/2001,Alabama,1,"Clarke County, AL",27624,1
1027,8/1/1999,Alabama,1,"Clay County, AL",14174,1
1027,8/1/2000,Alabama,1,"Clay County, AL",14263,1
1027,8/1/2001,Alabama,1,"Clay County, AL",14298,1
1039,8/1/1999,Alabama,1,"Covington County, AL",37843,1
1039,8/1/2000,Alabama,1,"Covington County, AL",37514,1
1041,8/1/1999,Alabama,1,"Crenshaw County, AL",13584,1
1041,8/1/2000,Alabama,1,"Crenshaw County, AL",13692,1
1063,8/1/1999,Alabama,1,"Greene County, AL",10004,1
1063,8/1/2000,Alabama,1,"Greene County, AL",9902,1
1063,8/1/2001,Alabama,1,"Greene County, AL",9866,1
1063,8/1/2002,Alabama,1,"Greene County, AL",9893,1
1063,8/1/2003,Alabama,1,"Greene County, AL",9805,1
1063,8/1/2004,Alabama,1,"Greene County, AL",9686,1
1065,8/1/1999,Alabama,1,"Hale County, AL",16982,1
1065,8/1/2000,Alabama,1,"Hale County, AL",18194,1
1065,8/1/2001,Alabama,1,"Hale County, AL",17868,1
