,Name,Area of expertise,Biograghy,Website
1,Andrew Wommack,Evangelist,American conservative charismatic TV evangelist and faith healer. He founded Andrew Wommack Ministries in 1978 and Charis Bible College in 1994.,www.awmi.net/
2,Aliko Dangote,Entrepreneur,"Aliko Dangote GCON is a Nigerian billionaire businessman, who is the founder and chairman of Dangote Group, an industrial conglomerate in Africa. He has an estimated net worth of US$8.3 billion, making him the 162nd wealthiest person in the world and the richest person in Africa.",www.dangote.com/
3,Barrack Obama,"Former president, politician and attorney","Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States.",barackobama.com/
4,Charlie H Campbell,Archeologist,"Charlie Campbell is the Founder and Director of the Always Be Ready Apologetics Ministry (AlwaysBeReady.com), an author, and a popular guest teacher at churches and conferences around North America where he addresses numerous issues related to the defense of the Christian faith.",AlwaysBeReady.com
5,Daniel Gorden,Professor/HR leader,Assistant Director/Lecturer at Rensselaer Polytechnic Institute,https://www.linkedin.com/in/dan-gordon-a2156037/
6,Fred Riggins,Professor,Professor of Management Information Systems and Director of the Center for Enterprise Business Analytics,https://www.ndsu.edu/business/our_people/directory/friggins/
7,Jeff Bezos,Entrepreneur,"Jeffrey Preston Bezos is an American internet entrepreneur, industrialist, media proprietor, and investor. He is best known as the founder, CEO, and president of the multi-national technology company Amazon.",www.bezosexpeditions.com/
8,Jennifer Berg,HR leader,"Manager, Compensation & Benefits at Altru Hospital",NA
9,John Maxwell,"Author, speaker & pastor","American author, speaker, and pastor who has written many books, primarily focusing on leadership.",www.johnmaxwell.com/
10,Myles Monroe,"Author, speaker & leadership consultant","Bahamian evangelist and ordained minister avid professor of the Kingdom of God, author, speaker and leadership consultant who founded and led the Bahamas Faith Ministries International and Myles Munroe International.",www.munroeglobal.com/
